merchant_name,mid,mcid,site_url,tracking_url
WJD Exclusives,wjdexclusives,wjdexclusives,https://www.wjdexclusives.com/,https://link.collabglow.com/t/4402m1TSkfDqZUYtcWcrADuIU257qHkH1c4YASvdyK2zIUQngQvAQE85G2DM3D7tr3uO621tTkq1AQBteZy4YvK0m96sXWaPYBDlg5U_c?url=https%3A%2F%2Fwww.wjdexclusives.com%2F
Nexcess,nexcess,nexcess,http://nexcess.net,https://link.collabglow.com/t/5ca3MOtBE0xA_bCqlf5c9xb1U0eQvuuffloXiWMazV9VAHHyO1ccW7mF_aYwpUhHTFfJMZwmUhanGHTuBbTDF1t7XOXFJaAu_bIBYNDwtQ_c?url=http%3A%2F%2Fnexcess.net
Printrendy,printrendy,printrendy,https://printrendy.com,https://link.collabglow.com/t/14abjFDrNwdcC4JA95TF_bJOpPR0LqpPZ6O1kVDaDmhE2jQJzn44EBmAWUW7Dabrg_a1uucwpKs2CP1Rr_awX9lT3oURkTxFPl5JZOYdyg_c?url=https%3A%2F%2Fprintrendy.com
1st Formations,1stformationsuk,1stformationsuk,https://www.1stformations.co.uk/,https://link.collabglow.com/t/c2dbKIZsVWcJv27g1RCS4H4d52Lz2SNo8F4UwEG7QmmvSeUOlLeocX1k9c2KfUzN0kHMd9Uld0G2rEuE3BvwDJLrTrTWWvEGh4D3M2Y_c?url=https%3A%2F%2Fwww.1stformations.co.uk%2F
National Council on Strength and Fitness,ncsf,ncsf,http://www.ncsf.org/,https://link.collabglow.com/t/91c9ozZHEIRxdepqvDz_ay0W_a7ArgMffnHGBYQ_bUM8_ayhatwmKH19E3kwTHSWtoWUtLRJSHugvo57BMOn9nKKoOEbWXscQVQQ6nDZSz8_c?url=http%3A%2F%2Fwww.ncsf.org%2F
Nexo,nexo,nexo,https://nexo.com,https://link.collabglow.com/t/5db7lGXTEJaaONwPneHyh3QU2hqZ2RgI_aWoeckKPJ_aaHykmJkUQbDHA3OORb_aNvEcllG85RrDYrAlbFIo7wKY5Pjp_aTfOTRHLndky6E_c?url=https%3A%2F%2Fnexo.com
Parallels.com,parallels,parallels,https://www.parallels.com/,https://link.collabglow.com/t/9d92ai5eAMNTMhUEY4jFBkArkhV92dgODZa9HNAHsbFAuYg7NMjfL1xtEi492d9AO6n_be2aD98KV0_aIGDBR2ucxosACk6YTkNtJjWy8_c?url=https%3A%2F%2Fwww.parallels.com%2F
Parallels.cn,parallelscn,parallelscn,http://parallels.cn,https://link.collabglow.com/t/1446KdV1BmIqMzrsnaoArafmkcnrqv6M6C_biqb0UkSHCflHRv8lQSU_bHKdBzGraVDP4_bpJS1ahK0t6l4l_ahi4bofSWlaaX4AnAgbkCE_c?url=http%3A%2F%2Fparallels.cn
Allegra K,allegrak,allegrak,https://www.allegra-k.com,https://link.collabglow.com/t/3a6cWBwEyl_bK2KeP_aVZsS8bMQHTlJ8GQHVww_bo5Q6wBmWieYkrU9JarIiOLPYvxRVAVjyD9cJcB4CY1FxwOal_aNlgRKpNlXoy_aRYqc8_c?url=https%3A%2F%2Fwww.allegra-k.com
Kalesafe,kalesafe,kalesafe,https://www.kalesafe.com/,https://link.collabglow.com/t/305bKXCDFKitPS1mhjULLe9pdev9IrbzU_a5DuTgpPZdUag6iSmbz4CStBL16HOmuVg2UYrcL2EVXTzmV0JyZugAjDm7aJ_aGff70laog_c?url=https%3A%2F%2Fwww.kalesafe.com%2F
