merchant_name,mid,mcid,site_url,tracking_url
Jucy World,jucy,jucy,https://www.jucy.com/nz/en/jucy-world,https://app.partnermatic.com/track/a012JEFXofOt3iNiBcFntvhHSFqa5QlMvbHhEx07FVs7LBB4p8n6XoK6uinwuj72jcl2FhqWij8vUyScj4UkpCaUynjSB1GdbYecNx07bw_c_c?url=https%3A%2F%2Fwww.jucy.com%2Fnz%2Fen%2Fjucy-world
Staysure,staysureuk,staysureuk,https://www.staysure.co.uk/,https://app.partnermatic.com/track/32f3xxV_bu1QMmMYWaBCQnmpxy_axzwqtdcA_bq21Czwin7RuQcNCDMK4TLijQ_b3RVGygXY_bA6Cs_boWkeJspDSdUKJLdUm18CnqwN7ejjpl_aA_c_c?url=https%3A%2F%2Fwww.staysure.co.uk%2F
Avanti Travel Insurance,avantitravelinsuranceuk,avantitravelinsuranceuk,https://www.avantitravelinsurance.co.uk,https://app.partnermatic.com/track/4b4f1dca28TGFtuo9cLhtJ_bgbKqMPLk_aZL0mF1u5VhYyvx_bTr9DQrZUTopWND2XcWPa_aB7AvMO6fM7MD9R3d2kF_alR11QXJ5YxhCMs5aug_c_c?url=https%3A%2F%2Fwww.avantitravelinsurance.co.uk
Ethel M Chocolates,ethelm,ethelm,http://www.ethelm.com,https://app.partnermatic.com/track/3849grCoQnvg_bsfLSiAYXcHrPqPfyT_bSxPfK7oI9q3TA3i1ejo343mJU6xBjLci2Nq5CZ8dxT6olbpuFQQ3EsBCZiDWXn2AjkUD28YUCIg_c_c?url=http%3A%2F%2Fwww.ethelm.com
Boat Lifestyle [CPS] IN,boatlifestyle,boatlifestyle,https://www.boat-lifestyle.com/,https://app.partnermatic.com/track/f593OCOzmoqiQnnjGuC202vFJvyW8fwjZqX_a7A_aE9QJOaZ8ZVLXy4MAYoHaxTi8ou1VzHAV3YjVQ8bz8k3T64y9qxoCY90LjjGKkrKjPkw_c_c?url=https%3A%2F%2Fwww.boat-lifestyle.com%2F
Satty Zhuldyz KZ,szhuldyzkz,szhuldyzkz,https://play.szhuldyz.kz/login,https://app.partnermatic.com/track/ecbedi_a7xj4nE1qSLPJ4s9dVPaMTW50RBAjvJy0LkgJf1hYaylHjiz9T50VXbK6wbnu42prlATwmYlp0aroBnVE6e1UsPDdOHzMvga0Sow_c_c?url=https%3A%2F%2Fplay.szhuldyz.kz%2Flogin
AliExpress RU&CIS NEW,aliexpressru,aliexpressru,https://aliexpress.ru,https://app.partnermatic.com/track/5501ldTedbwfebJde16_bLcRAniEjPcYfX3eW3kStAYQuf4y1_b9vzwp3l9FwxaT_atKLT_aaLMe0xz44OGTKibk5kue0tOrqaUurjq_bavScmg_c_c?url=https%3A%2F%2Faliexpress.ru
Часы Молния Many GEOs,molnijashop,molnijashop,https://molnija.shop/,https://app.partnermatic.com/track/72b2eXq0jbB_aAg31a81PqeIO7HFTHaKPOfOvFpZAI_btiMV369PMD6NTWOjWHXeT_a606MrKwseITg1i5zjsWOTloHkK97vkoYU29WUrZbAQ_c_c?url=https%3A%2F%2Fmolnija.shop%2F
ChicMe WW,chicme,chicme,http://www.chicme.com/,https://app.partnermatic.com/track/8631CQgsp2Jy8_bv1jzk5yKD1NNy6Qm3559mex4q7S5y_ae_bRSu1xRFe_alxWpJekroLgYrqZwKgYzAmPTY2DPLhceEFEA9ubLj8f8VeEEbEA_c_c?url=http%3A%2F%2Fwww.chicme.com%2F
Garshinka,garshinkaru,garshinkaru,https://www.garshinka.ru/,https://app.partnermatic.com/track/d497w0_bRUrNgThH5jV3b60WP2b6MRwvGbuiP9RqUR_aaJDm9_a6yi9hLidzwGyuUjH2kKVDLCj2Z1AnsUSkS_bTvJUinRGsVg2_bk9fDsPYoqw_c_c?url=https%3A%2F%2Fwww.garshinka.ru%2F
